user_id,full_name,job_title,company_name,email_address,phone_number,address,city,country,birth_date,registration_date,last_login_date,account_status,annual_revenue
1,Gary Smith,Ecologist,,wilsonkenneth@example.com,(477)787-2354x28009,"4816 Mckinney Knolls
Ramseytown, HI 64696",Garciaside,Mali,1991-11-16,2025-04-10,2025-09-10,Inactive,302047.15
2,James Foley,Private music teacher,Anderson and Sons,nunezerin@example.com,(463)710-6330x3185,"PSC 7863, Box 3677
APO AA 36053",Martinezchester,Bermuda,1994-06-30,2025-08-12,2025-09-16,Suspended,214616.1
3,Randy Hamilton,Pathologist,Johnson PLC,jessica21@example.net,689-255-3045x41692,"593 Megan Crossing Suite 001
Lake John, NC 28181",Lake Mark,Iran,2005-08-17,2025-04-07,2025-09-01,Active,478404.66
4,Barbara Valenzuela,Horticultural consultant,Gibson-Spencer,michaelpatterson@example.org,257-367-8402,"35324 Victor Burg Apt. 640
Thomasmouth, GA 17249",Klineshire,Mauritius,1976-08-03,2025-07-08,2025-09-03,Active,183912.54
5,Pamela Obrien,Diagnostic radiographer,"Flores, Johnson and Hendricks",ktucker@example.com,543-280-0419x0052,"154 Page Underpass
Port Lindaview, DC 74969",West Richardside,Guam,1960-10-11,2025-09-06,2025-09-10,Active,401197.3
6,Joshua Austin,"Scientist, physiological",Oliver-Lopez,nancy51,245.358.0552167,"58201 Samuel Club
Parkermouth, SD 96294",East Ericastad,Cape Verde,1993-07-28,2025-06-25,2025-09-03,Inactive,391242.82
7,Curtis Hartman,Data scientist,Levy Inc,bgreen@example.com,353.292.8181x97555,"1327 Waller Burgs Suite 950
East Jonathan, VT 82997",New Mark,Taiwan,1995-09-11,2025-02-10,2025-09-05,Suspended,443347.04
8,Michael Weiss,Production manager,"Rodriguez, Martinez and Gray",david54@example.org,(668)549-6381x799,"8247 Stephanie Port
Nealberg, IN 86822",Hallshire,Switzerland,1993-10-02,2025-01-02,2025-09-12,Suspended,140992.02
9,Cindy Burnett,Chartered loss adjuster,Taylor Group,alfredmaddox@example.net,450.275.5562,"88390 Bowman Hollow
North Brandonhaven, KY 54189",Ryanside,Seychelles,1974-06-27,2025-08-06,2025-09-10,Inactive,179973.26
10,Yolanda Burns,Arts administrator,Jackson Group,danny63@example.org,730-794-1831x3410,"0622 John Fields Suite 528
Simmonsmouth, MI 91939",West Jeffreyburgh,Morocco,1984-08-30,2025-04-13,2025-09-01,Suspended,146612.65
11,Spencer Rangel,Toxicologist,"Choi, Hill and Gonzalez",amyaustin@example.org,210-747-5988x3329,"9438 Roberts Dam
Marcberg, PW 29538",Nielsenport,Ecuador,1992-12-17,2025-06-04,2025-09-06,Inactive,429047.95
